26 |  1   4  0.000000
27 |  3  26  0.000000
28 |  6  14  0.028196
29 | 20  24  0.057056
30 |  2   7  0.061898
31 | 15  27  0.102504
32 |  5  23  0.104206
33 |  9  10  0.105611
34 | 18  32  0.126776
35 |  8  22  0.140701
36 | 16  29  0.142432
37 | 11  19  0.148828
38 | 13  31  0.174346
39 | 12  25  0.231371
40 | 35  36  0.294552
41 | 17  21  0.336964
42 | 39  41  0.446695
43 | 30  34  0.453786
44 | 28  37  0.559363
45 | 33  43  0.571625
46 | 38  40  0.585276
47 | 42  44  0.702416
48 | 45  47  0.869790
49 | 46  48  1.164380
